Tch Category,Tch element,"János Domján
(1839)","Rajmund Sebetic
(1877/1903) + 1886",Murz Frigyes (1890),"Samu Chappon
(1891 / 1911)","Károly Chappon
(1893)","Arlow_Litomysky
(1894)","Gusztáv Arlow
(1902)","Károly Leszák
(1906)"
Bodywork,Volte,-,"""Kanyarulat"" (similar to Christmann, 1838: Halbe Volte)",,,"*(nem tudom, pontosan mi az a volte. Ha igazából a jobb láb hátrahúzása úgy, hogy kifordítjuk a testet közben, akkor a Chappon Károly -féle jobbláb hátrahúzás igazából inkább ez, vagy legalábbis valami hibrid, mert ott is nagyon ki kell fordulni",,"*attól függően, hogy mi a volte definíciója, lehet beugrás.",
Cuts,Cut on the hand on the inside,Cut on the hand on the inside,-,,"""Kéz belülről vágása""","""Belső kézvágás""",,,
Cuts,Cut on the hand on the outside,Cut on the hand on the outside,-,,"""Kéz kívülről vágása""","""Külső kézvágás""",,,
Cuts,Cut on the hand from above,*-,,,,"""Felső kézvágás""",,,
Cuts,Cut on the hand from below ,*-,,,"""Kéz alsó vágása""","""Alsó kézvágás""",,,
Cuts,Cut on the hand from above on the inside,Cut  on the hand from below on the inside,-,,,"""Belső felső kézvágás""",,,
Cuts,Cut on the hand from below on the outside,Cut on the hand from below on the outside,-,,,,,,
Cuts,Cut on the hand from below on the outside,*Ez a sor ugyanaz mint az előző?,,,,"""Külső alső kézvágás""",,,
Cuts,Cut on the face on the inside,Cut on the face on the inside,"""Negyed (Quarte)""",,"""Arc belső váhgása""","""Belső arczvágás""","""Quarte-Hieb""",,
Cuts,Cut on the face on the outside,Cut on the face on the outside,"""Harmad (Terce)""",,"""Arc külső vágása""","""Külső arczvágás""","""Seconde-Hieb""",,
Cuts,Cut on the head (from above),Cut on the head (from above),"""Első (Prime)""",,"""Fej-vágás""","""Fejvágás""","""Prime-Hieb""",,
Cuts,Side cut,"Side cut (upward, middle, downward) from our inside to the o's outside",Oldalvágás,,,"""Oldalvágás""","""Tierce-Hieb""",,
Cuts,Cut at the chest,Cut at the chest,Mellvágás,,"""Felső / Alsó mell-vágás""","""Mellvágás""",,,
Cuts,Cut at the belly,Cut at the belly,Körvágás,,,"""Hasvágás""","""(Cercle) Tief-Quarte-Hieb""",,
Cuts,Cut on the arm,-,Cut on the arm,,,,,,
Cuts,Serie of cuts,-,-,,-,"""Egyenes kettős és hármas vágások""",,,
Cuts,Cuts with change (of the direction),-,-,,-,"""Átmeneti vágás""",,,
Cuts,Cuts with the false edge,-,-,,"""Vágás a kard fokával""","""Fokvágás""",,,
Cuts,Cuts below the sword,,,,"""... vágása kard alatt""",,,,
Cuts,Swung cuts,,,,,,"""Geschwungene Hiebe""",Lendített vágások,
Moulinets,Moulinets,-,Moulinets,,"""Csukló-forgások""","""Kardforgatás""","""Säbelschwingungen""",,
Parries,Terz,-,Harmad,,,"""Felső kiállás""","""Tierce""","""Terc""",
Parries,High terz,Parry agains an outside cut on the hand,Magas harmad,,"""Felső-Tierce""",,,,
Parries,Septim,"Parry agains an inside cut from below on the hand
Parry of the belly",-,,,,,,
Parries,Second,Parry agains an outside cut from below on the hand,Másod,,"""Seconde""","""Külső alsó kiállás""","""Seconde""",,
Parries,High second,,,,,"""Külső kiállás""",,,
Parries,Parry of the head (horizontally in front and above of the head),Parry of the head,-,,"""A fej védése""",,,,
Parries,Second (mod),Parry against a cut from the outside (diff: position of the feet),,,,,,,
Parries,Parry of the chest (Prime mod?),Parry of the chest,-,,"""Demi-Cercle""",,,,
Parries,Quart,-,Negyed,,,"""Belső kiállás""","""Quarte""",,
Parries,High quart,Parry agains an inside cut on the hand,Magas negyed,,"""Felső - Quarte""",,,,
Parries,Prime,-,Első,,,,"""Prime""",,
Parries,Low prime,-,Mély első,,,,,,
Parries,Low terz,-,Mély harmad,,"""Alsó-Tierce""",,"""Tief-Tierce""",,
Parries,Low quart,-,Mély negyed,,"""Alsó-Quarte""",,"""Quinte respective Tief-Quarte-Parade""",,
Parries,Quint,-,-,,-,-,"""Quinte""",,
Parries,,-,Heves,,,,,,
Parries,Ceding parry,,,,,,"""Cedierungs-Paraden""",,
Parries,Glide parry,,Sikló,,,,"""Streif-Paraden""
""Schliff- und Schleuderparaden""",,
Riposte,Riposte,"""Visszavágás""",Visszavágás (Riposte),,"""Visszavágás (Ripost)""","""Visszavágás""","""Riposte""",,
Riposte,Controriposte,-,-,,-,-,"""Contre-Riposte""",,
Riposte,short cuts,-,-,,-,-,"""Kurze Hiebe""",,
Feints,Feints,Cselek,Cselek,,"""Cselezés""","""Cselvágás""","""Finten""",,
Feints,Combined feints,Összetett cselek,Kettős cselek,,-,"""Kettős csel""","""zusammengesetzte Finten""",,
Feints,Feint-riposts,-,-,,-,-,"""Fint-Riposten""",,
Feints,Fehler,-,-,,-,-,"""Trompé""",,
Feints,Thrust feints,-,,,,,"""Stoss-Finten""","""Szúráscselek""",
Thrusts,Straight thrust,-,Szilárd szúrás,,"""Szúrás""",,"""Stoss""",,
Thrusts,Thrust with cavation,-,Áttételi váltószúrás,,"""Szúrás""","""Szúrás""",,,
Parries,Controparade,-,Ellen-védhárítás,,,,"""Contre-Paraden""",,
Cavation,Cavation,-,Óv-kitérés,,,,"""Changement""
""Cavation""",,
Coupé,Coupé,-,Lökvágás,,,,,,
Parries,,-,Sikló védhárítás,,,,,,
Parries,,-,Heves védhárítás,,,,,,
Disarming,Disarming,-,Lefegyverzés,,"""Lefegyverzés (Desarmement)""",,"""Entwaffnung""",,
Aviod disarming,Aviod disarming,,,,"""A lefegyverzés védése""",,,,
Cedieren,Cedieren,-,Engedés,,,,,,
Winden,Winden,-,Csavarítás (Croisé),,Croisé,Csavarítás,"""Croisé (Liement)""",Csavarás (trasporto di ferro),
Winden,Winden - strong,-,Heves csavarítás,,,,,,
Battement,Blade attack,-,Vas-csapás,,,"""Kard-penge támadás""","""Battement""
""innere (Quarte)-Battement""
""äussere (Tierce)-Battement""",,
Battement,Hit on the blade,,Vas-csapás,,,"""Vascsapás""",,,
Battement,Sledge on the blade,,,,,"""Vassurolás""",,,
Battement,Blocking the blade,,,,,"""Kard lefogás""",,,
Repeats,Repeats,-,Ismétlés (Reprise),,,,"""Reprise""",,
Pressure,Pressure  (on the blade),-,-,,-,-,"""Pression""",,
Pressure,High-right forcing,-,-,,-,-,"""Hoch-rechts-forcé""",,
Vorhieb,Vorhieb,-,Megelőző vágás,,"""Elővágás""","""Elővágás""","""Vorhieb""",,
Mensur fencing,Manchetten-fencing,-,Karvéd-vívás,,,,,,
Double,Double,-,-,,-,-,"""Double""","""Ambó""",
Thrusts,Stopping thrust,-,-,,-,-,"""Arrêt-Stoss""",,
Repeats,After attack,-,-,,-,-,"""Nach-Attaque""",,
Vorhieb,Double Vorhieb,,,,,,"""Doppel-Vorhieb""",,
